FECHA,PROGRESIVA,PIEZOMETRO,COTA_RIO_(M.S.N.M),LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
18/07/2023,0+175,PE 7,115.156,8938.93,2.7,0.030355899999991744,0.05426589999999174,119.83635589999999,
29/07/2023,0+175,PE 7,114.831,8911.57,0.9,0.8065591000000084,0.8591611000000084,120.61255910000001,
15/08/2023,0+175,PE 7,114.629,8939.79,1.5,0.0059576999999752306,0.04899569999997523,119.81195769999998,
24/08/2023,0+175,PE 7,114.391,8949.63,1.5,-0.2732030999999773,-0.23016509999997728,SIN NF,3.8
01/09/2023,0+175,PE 7,114.309,8953.65,1.6,-0.3872504999999897,-0.3458064999999897,SIN NF,
02/09/2023,0+175,PE 7,114.309,8951.83,1.6,-0.33561709999999795,-0.29417309999999797,SIN NF,
09/09/2023,0+175,PE 7,114.221,8949.63,2.2,-0.2732030999999773,-0.24132309999997728,SIN NF,
16/09/2023,0+175,PE 7,114.221,8954.08,2.6,-0.39944959999999796,-0.37394559999999794,SIN NF,
23/09/2023,0+175,PE 7,114.221,8946.26,3.1,-0.1775962000000062,-0.1600622000000062,SIN NF,
26/09/2023,0+175,PE 7,114.131,8950.49,3.2,-0.2976012999999938,-0.2816612999999938,SIN NF,22.1
01/10/2023,0+175,PE 7,114.069,8948.94,3.4,-0.25362780000001445,-0.2408758000000145,SIN NF,
09/10/2023,0+175,PE 7,114.1,8950.7,3.6,-0.3035590000000206,-0.2939950000000206,SIN NF,
16/10/2023,0+175,PE 7,114.18,8943.58,3.9,-0.10156459999999795,-0.09678259999999794,SIN NF,0.8
29/10/2023,0+175,PE 7,114.254,8952.52,4.2,-0.3551924000000124,-0.3551924000000124,SIN NF,5.6
03/11/2023,0+175,PE 7,114.306,8944.92,3.6,-0.13958040000000208,-0.13001640000000209,SIN NF,
10/11/2023,0+175,PE 7,114.306,8950.49,4.5,-0.2976012999999938,-0.3023832999999938,SIN NF,
17/11/2023,0+175,PE 7,114.328,8956.33,4.6,-0.463282099999998,-0.4696580999999979,SIN NF,5.5
18/07/2023,0+175,PE 8,115.156,8961.42,3.8,0.0191450000000199,0.0275258000000199,120.00714500000002,
29/07/2023,0+175,PE 8,114.831,8965.02,1.4,-0.07931499999999005,-0.04858539999999004,SIN NF,
15/08/2023,0+175,PE 8,114.629,8965.02,2.7,-0.07931499999999005,-0.060690999999990045,SIN NF,
24/08/2023,0+175,PE 8,114.391,8971.52,2.8,-0.25708999999999005,-0.23939719999999,SIN NF,3.8
01/09/2023,0+175,PE 8,114.309,8973.99,3.0,-0.32464449999997214,-0.3088140999999721,SIN NF,
02/09/2023,0+175,PE 8,114.309,8971.95,3.2,-0.268850499999998,-0.25488249999999796,SIN NF,
09/09/2023,0+175,PE 8,114.221,8964.59,3.8,-0.06755449999998209,-0.059173699999982086,SIN NF,
16/09/2023,0+175,PE 8,114.221,8969.48,4.0,-0.20129599999996617,-0.19477759999996616,SIN NF,
23/09/2023,0+175,PE 8,114.221,8961.0,4.3,0.030632000000021885,0.03435680000002189,120.01863200000003,
26/09/2023,0+175,PE 8,114.131,8965.93,4.4,-0.10420349999998606,-0.10140989999998606,SIN NF,22.1
01/10/2023,0+175,PE 8,114.069,8964.81,4.5,-0.07357149999996418,-0.07170909999996418,SIN NF,
09/10/2023,0+175,PE 8,114.1,8966.36,4.6,-0.11596399999999402,-0.11503279999999401,SIN NF,
16/10/2023,0+175,PE 8,114.18,8959.65,4.7,0.06755450000003184,0.06755450000003184,120.05555450000003,0.8
29/10/2023,0+175,PE 8,114.254,8967.49,4.9,-0.14686949999997212,-0.14873189999997213,SIN NF,5.6
03/11/2023,0+175,PE 8,114.306,8962.34,5.0,-0.00601699999998209,-0.008810599999982087,SIN NF,
10/11/2023,0+175,PE 8,114.306,8968.62,5.1,-0.177775,-0.18149979999999996,SIN NF,
17/11/2023,0+175,PE 8,114.328,8971.73,5.1,-0.26283349999996614,-0.26655829999996616,SIN NF,5.5
18/07/2023,0+175,PE 9,115.156,8786.12,0.4,0.1287725,0.2086925,120.4067725,
29/07/2023,0+175,PE 9,114.831,8763.36,3.6,0.7457961000000058,0.7783561000000059,121.02379610000001,
15/08/2023,0+175,PE 9,114.629,8752.37,3.6,1.043735,1.076295,121.321735,
24/08/2023,0+175,PE 9,114.391,8762.73,3.3,0.7628754000000335,0.7998754000000335,121.04087540000003,3.8
01/09/2023,0+175,PE 9,114.309,8756.87,3.5,0.9217399999999999,0.9557799999999999,121.19974,
02/09/2023,0+175,PE 9,114.309,8755.16,3.7,0.9680981000000255,0.9991781000000255,121.24609810000003,
09/09/2023,0+175,PE 9,114.221,8752.57,4.0,1.0383130000000296,1.0649530000000296,121.31631300000004,
16/09/2023,0+175,PE 9,114.221,8758.17,4.2,0.8864970000000196,0.9101770000000197,121.16449700000003,
