FECHA,CELDA_DE_ASENTAMIENTO,PROGRESIVA,PUNTO_FIJO_CASETA,COTA_RIO_(M.S.N.M),LECTURA_REGLETA_(M),COTA_0_REGLETA_(M),COTA_CELDA_(M.S.N.M),ASENTAMIENTO_(CM),COTA_RELLENO,MODULO_DEFORMACION_(Ε)
24/08/2023,AS-5,0+175 - MI,119.486,114.391,0.616,120.822,121.438,7.699999999999818,123.0,
01/09/2023,AS-5,0+175 - MI,119.486,114.309,0.604,120.822,121.426,6.499999999999773,123.6,
02/09/2023,AS-5,0+175 - MI,119.486,114.309,0.6,120.822,121.422,6.099999999999284,124.2,
03/09/2023,AS-5,0+175 - MI,119.486,114.309,0.595,120.822,121.417,5.5999999999997385,124.8,
09/09/2023,AS-5,0+175 - MI,119.486,114.309,0.545,120.822,121.367,0.6000000000000227,127.2,
12/09/2023,AS-5,0+175 - MI,119.486,114.309,0.538,120.822,121.36,-0.10000000000047748,127.2,
18/09/2023,AS-5,0+175 - MI,119.486,114.309,0.537,120.824,121.361,0.0,129.0,
23/09/2023,AS-5,0+175 - MI,119.486,114.221,0.537,120.824,121.361,0.0,131.2,
26/09/2023,AS-5,0+175 - MI,119.486,114.131,0.535,120.823,121.35799999999999,-0.30000000000143245,131.8,
28/09/2023,AS-5,0+175 - MI,119.486,114.131,0.535,120.823,121.35799999999999,-0.30000000000143245,131.8,
29/09/2023,AS-5,0+175 - MI,119.486,114.131,0.536,120.823,121.359,-0.20000000000095497,131.8,
09/10/2023,AS-5,0+175 - MI,119.486,114.1,0.534,120.823,121.357,-0.40000000000048885,133.6,
16/10/2023,AS-5,0+175 - MI,119.486,114.18,0.53,120.823,121.353,-0.8000000000009777,135.4,
29/10/2023,AS-5,0+175 - MI,119.486,114.254,0.528,120.823,121.351,-1.0000000000005116,135.4,
11/11/2023,AS-5,0+175 - MI,119.486,114.306,0.516,120.823,121.339,-2.200000000000557,135.4,
12/11/2023,AS-5,0+175 - MI,119.486,114.328,0.515,120.823,121.338,-2.3000000000010346,135.4,
13/11/2023,AS-5,0+175 - MI,119.486,114.328,0.516,120.823,121.339,-2.200000000000557,135.4,
15/11/2023,AS-5,0+175 - MI,119.486,114.328,0.515,120.823,121.338,-2.3000000000010346,135.4,
16/11/2023,AS-5,0+175 - MI,119.486,114.328,0.515,120.823,121.338,-2.3000000000010346,135.4,
17/11/2023,AS-5,0+175 - MI,119.486,114.328,0.515,120.823,121.338,-2.3000000000010346,135.4,
18/09/2023,AS-6,0+175 - MI,119.486,114.309,0.775,120.822,121.59700000000001,24.00000000000091,129.6,
23/09/2023,AS-6,0+175 - MI,119.486,114.221,0.855,120.823,121.678,32.099999999999795,131.2,
26/09/2023,AS-6,0+175 - MI,119.486,114.131,0.935,120.823,121.758,40.099999999999625,131.8,
28/09/2023,AS-6,0+175 - MI,119.486,114.131,0.755,120.441,121.196,-16.100000000000136,131.8,
28/09/2023,AS-6,0+175 - MI,119.486,114.131,0.764,120.441,121.205,-15.200000000000102,131.8,
29/09/2023,AS-6,0+175 - MI,119.486,114.131,0.81,120.441,121.251,-10.599999999999454,131.8,
09/10/2023,AS-6,0+175 - MI,119.486,114.1,0.558,120.441,120.99900000000001,-35.79999999999899,133.6,
16/10/2023,AS-6,0+175 - MI,119.486,114.18,0.585,120.441,121.026,-33.10000000000031,135.4,
11/11/2023,AS-6,0+175 - MI,119.486,114.306,0.291,120.441,120.732,-62.5,135.4,
12/11/2023,AS-6,0+175 - MI,119.486,114.328,0.253,120.441,120.694,-66.29999999999967,135.4,
13/11/2023,AS-6,0+175 - MI,119.486,114.328,0.25,120.441,120.691,-66.59999999999968,135.4,
15/11/2023,AS-6,0+175 - MI,119.486,114.328,0.275,120.441,120.71600000000001,-64.09999999999911,135.4,
16/11/2023,AS-6,0+175 - MI,119.486,114.328,0.357,120.441,120.798,-55.89999999999975,135.4,
17/11/2023,AS-6,0+175 - MI,119.486,114.328,0.325,120.441,120.766,-59.0999999999994,135.4,
