FECHA,PROGRESIVA,PIEZOMETRO,COTA_RIO_(M.S.N.M),LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
05/09/2023,0+475 - MD,PE 8,114.309,9070.61,8.5,-0.1418,-0.1398518,SIN NF,
09/09/2023,0+475 - MD,PE 8,114.221,9076.32,6.1,-0.30373559999997524,-0.28620179999997525,SIN NF,
15/09/2023,0+475 - MD,PE 8,114.221,9080.64,6.1,-0.426250799999967,-0.4087169999999671,SIN NF,
24/09/2023,0+475 - MD,PE 8,114.131,9071.34,6.4,-0.16250279999998762,-0.14691719999998765,SIN NF,22.1
01/10/2023,0+475 - MD,PE 8,114.069,9076.53,6.6,-0.30969120000000205,-0.29540440000000207,SIN NF,
09/10/2023,0+475 - MD,PE 8,114.1,9077.46,6.9,-0.33606599999995873,-0.3237273999999587,SIN NF,
16/10/2023,0+475 - MD,PE 8,114.18,9070.19,7.5,-0.12988879999999794,-0.12144659999999793,SIN NF,0.8
30/10/2023,0+475 - MD,PE 8,114.254,9066.75,8.6,-0.032330399999983495,-0.031031599999983485,SIN NF,5.6
03/11/2023,0+475 - MD,PE 8,114.306,9073.14,8.8,-0.21355079999996698,-0.21355079999996698,SIN NF,
10/11/2023,0+475 - MD,PE 8,114.306,9079.98,9.2,-0.4075331999999711,-0.4101307999999711,SIN NF,
17/11/2023,0+475 - MD,PE 8,114.328,9081.57,9.7,-0.4526255999999752,-0.45847019999997524,SIN NF,5.5
25/09/2023,0+475 - MD,PE 9,114.131,8851.12,10.6,-0.2034662000000267,-0.16147120000002668,SIN NF,22.1
01/10/2023,0+475 - MD,PE 9,114.069,8855.07,10.6,-0.31493519999999586,-0.2729401999999959,SIN NF,
09/10/2023,0+475 - MD,PE 9,114.1,8856.18,10.5,-0.3462594000000123,-0.3053994000000123,SIN NF,
16/10/2023,0+475 - MD,PE 9,114.18,8850.7,10.4,-0.19161380000002462,-0.15188880000002464,SIN NF,0.8
30/10/2023,0+475 - MD,PE 9,114.254,8848.49,10.2,-0.12924759999999794,-0.09179259999999793,SIN NF,5.6
03/11/2023,0+475 - MD,PE 9,114.306,8854.44,10.1,-0.2971566000000184,-0.26083660000001846,SIN NF,
10/11/2023,0+475 - MD,PE 9,114.306,8860.61,10.1,-0.47127400000002045,-0.43495400000002044,SIN NF,
17/11/2023,0+475 - MD,PE 9,114.328,8862.98,10.1,-0.5381553999999917,-0.5018353999999917,SIN NF,5.5
01/09/2023,0+475 - MD,PE 10,114.391,8880.42,6.3,-0.007191600000006037,-0.013587600000006039,SIN NF,
02/09/2023,0+475 - MD,PE 10,114.309,8878.63,6.4,0.042319800000018115,0.035390800000018104,115.13331980000001,
09/09/2023,0+475 - MD,PE 10,114.221,8884.13,6.3,-0.10981019999998189,-0.11620619999998189,SIN NF,
15/09/2023,0+475 - MD,PE 10,114.221,8885.46,6.1,-0.14659799999997988,-0.15192799999997988,SIN NF,
24/09/2023,0+475 - MD,PE 10,114.131,8873.81,5.9,0.17564100000001004,0.17137700000001005,115.266641,22.1
01/10/2023,0+475 - MD,PE 10,114.069,8880.16,5.9,0.0,-0.004264000000000004,SIN NF,
09/10/2023,0+475 - MD,PE 10,114.1,8880.85,5.9,-0.01908540000001409,-0.023349400000014092,SIN NF,
16/10/2023,0+475 - MD,PE 10,114.18,8876.46,6.0,0.10234200000002011,0.09754500000002012,115.19334200000002,0.8
30/10/2023,0+475 - MD,PE 10,114.254,8875.77,6.1,0.1214273999999839,0.1160973999999839,115.21242739999998,5.6
03/11/2023,0+475 - MD,PE 10,114.306,8883.07,6.4,-0.08049059999999597,-0.08741959999999598,SIN NF,
10/11/2023,0+475 - MD,PE 10,114.306,8888.58,6.6,-0.23289720000000202,-0.24089220000000203,SIN NF,
17/11/2023,0+475 - MD,PE 10,114.328,8890.75,6.8,-0.29291940000000405,-0.30198040000000403,SIN NF,5.5
31/08/2023,0+475 - MD,PE 11,114.391,8394.93,9.4,14.720146999999997,14.691062999999998,114.613147,8.2
02/09/2023,0+475 - MD,PE 11,114.309,8393.08,9.3,14.771854500000007,14.745414500000006,114.6648545,
09/09/2023,0+475 - MD,PE 11,114.221,8401.21,9.3,14.54462100000003,14.51818100000003,114.43762100000004,
15/09/2023,0+475 - MD,PE 11,114.221,8407.69,9.3,14.363504999999991,14.33706499999999,114.25650499999999,
24/09/2023,0+475 - MD,PE 11,114.131,8402.42,9.3,14.510801500000003,14.484361500000004,114.4038015,22.1
01/10/2023,0+475 - MD,PE 11,114.069,8411.35,9.3,14.261207999999995,14.234767999999995,114.154208,
09/10/2023,0+475 - MD,PE 11,114.1,8413.4,9.3,14.203910500000013,14.177470500000014,114.0969105,
16/10/2023,0+475 - MD,PE 11,114.18,8410.13,9.4,14.295307000000026,14.266223000000029,114.18830700000002,0.8
30/10/2023,0+475 - MD,PE 11,114.254,8405.69,9.4,14.41940499999999,14.390320999999991,114.31240499999998,5.6
03/11/2023,0+475 - MD,PE 11,114.306,8411.98,9.3,14.243599500000018,14.217159500000017,114.13659950000002,
10/11/2023,0+475 - MD,PE 11,114.306,8418.47,9.3,14.062204000000023,14.035764000000023,113.95520400000002,
17/11/2023,0+475 - MD,PE 11,114.328,8419.3,9.3,14.039005500000027,14.012565500000026,113.93200550000003,5.5
29/08/2023,0+475 - MD,PE 12,114.391,8370.27,9.6,14.186907000000001,14.206797000000002,114.146907,8.2
02/09/2023,0+475 - MD,PE 12,114.309,8369.83,9.6,14.199381000000017,14.219271000000017,114.15938100000001,
09/09/2023,0+475 - MD,PE 12,114.221,8377.1,9.8,13.993276500000004,14.010514500000005,113.9532765,
15/09/2023,0+475 - MD,PE 12,114.221,8382.78,9.8,13.832248499999997,13.849486499999998,113.79224849999999,
24/09/2023,0+475 - MD,PE 12,114.131,8377.3,9.8,13.987606500000036,14.004844500000036,113.94760650000003,22.1
01/10/2023,0+475 - MD,PE 12,114.069,8386.03,9.8,13.740110999999997,13.757348999999996,113.70011099999999,
09/10/2023,0+475 - MD,PE 12,114.1,8387.83,9.8,13.689081000000018,13.706319000000017,113.64908100000001,
16/10/2023,0+475 - MD,PE 12,114.18,8383.99,9.8,13.79794500000002,13.815183000000019,113.757945,0.8
30/10/2023,0+475 - MD,PE 12,114.254,8381.37,9.8,13.872221999999992,13.889459999999993,113.83222199999999,5.6
03/11/2023,0+475 - MD,PE 12,114.306,8385.79,6.4,13.74691499999999,13.80923699999999,113.70691499999998,
10/11/2023,0+475 - MD,PE 12,114.306,8391.67,9.8,13.580217000000014,13.597455000000014,113.54021700000001,
17/11/2023,0+475 - MD,PE 12,114.328,8392.88,9.8,13.545913500000037,13.563151500000037,113.50591350000003,5.5
05/09/2023,0+475 - MD,PE 13,114.309,8498.42,10.9,13.970838200000019,13.962851000000018,113.79783820000002,
09/09/2023,0+475 - MD,PE 13,114.221,8509.78,10.6,13.653439800000003,13.646451000000004,113.4804398,
15/09/2023,0+475 - MD,PE 13,114.221,8322.81,11.1,18.877381600000035,18.868728800000035,118.70438160000003,
24/09/2023,0+475 - MD,PE 13,114.131,8510.23,10.6,13.640866800000035,13.633878000000035,113.46786680000004,22.1
