FECHA,PROGRESIVA,PIEZOMETRO,COTA_RIO_(M.S.N.M),LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
27/09/2019,0+950,PE 3,,8940.0,7.2,-0.24661279999999802,-0.24720535999999804,SIN NF,0.0
30/09/2019,0+950,PE 3,,8942.68,6.6,-0.3194016000000059,-0.3196978800000059,SIN NF,0.0
04/10/2019,0+950,PE 3,114.958,8941.82,5.6,-0.2960439999999901,-0.2958464799999901,SIN NF,0.0
08/10/2019,0+950,PE 3,114.958,8941.34,5.5,-0.28300720000000196,-0.28276030000000196,SIN NF,0.0
12/10/2019,0+950,PE 3,114.958,8941.12,5.3,-0.27703200000001976,-0.27668634000001974,SIN NF,0.3
17/10/2019,0+950,PE 3,114.958,8941.12,5.2,-0.27703200000001976,-0.27663696000001975,SIN NF,0.0
21/10/2019,0+950,PE 3,114.958,8937.81,5.6,-0.18713239999998418,-0.18693487999998418,SIN NF,0.0
24/10/2019,0+950,PE 3,114.958,8942.25,5.9,-0.307722799999998,-0.307673419999998,SIN NF,0.0
28/10/2019,0+950,PE 3,114.958,8944.71,6.4,-0.3745363999999743,-0.3747339199999743,SIN NF,0.0
01/11/2019,0+950,PE 3,114.958,8942.68,6.6,-0.3194016000000059,-0.3196978800000059,SIN NF,0.0
04/11/2019,0+950,PE 3,114.958,8947.38,6.7,-0.4470535999999763,-0.4473992599999763,SIN NF,0.0
09/11/2019,0+950,PE 3,115.173,8935.14,6.8,-0.11461519999998221,-0.11501023999998222,SIN NF,0.3
13/11/2019,0+950,PE 3,115.173,8942.68,6.9,-0.3194016000000059,-0.31984602000000595,SIN NF,0.8
17/11/2019,0+950,PE 3,115.173,8948.72,7.5,-0.48344799999998017,-0.48418869999998015,SIN NF,10.7
20/11/2019,0+950,PE 3,115.173,8948.51,7.7,-0.47774440000000395,-0.47858386000000397,SIN NF,4.8
25/11/2019,0+950,PE 3,115.173,8951.83,8.1,-0.5679155999999961,-0.568952579999996,SIN NF,9.1
29/11/2019,0+950,PE 3,115.728,8951.83,8.5,-0.5679155999999961,-0.5691500999999961,SIN NF,1.3
03/12/2019,0+950,PE 3,115.803,8943.58,8.6,-0.34384559999999603,-0.34512947999999605,SIN NF,5.3
