FECHA,CELDA_DE_ASENTAMIENTO,PROGRESIVA,PUNTO_FIJO_CASETA,COTA_RIO_(M.S.N.M),LECTURA_REGLETA_(M),COTA_0_REGLETA_(M),COTA_CELDA_(M.S.N.M),ASENTAMIENTO_(CM),COTA_RELLENO,MODULO_DEFORMACION_(Ε)
12/09/2023,AS-5,0+300 - MI,123.487,114.309,0.528,124.192,124.72,-3.100000000000591,130.6,
16/09/2023,AS-5,0+300 - MI,123.487,114.221,0.526,124.192,124.71799999999999,-3.300000000001546,130.6,
18/09/2023,AS-5,0+300 - MI,123.487,114.221,0.532,124.192,124.72399999999999,-2.7000000000015234,130.6,
23/09/2023,AS-5,0+300 - MI,123.487,114.131,0.533,124.192,124.725,-2.600000000001046,130.6,
26/09/2023,AS-5,0+300 - MI,123.487,114.131,0.53,124.191,124.721,-3.0000000000001137,131.8,
28/09/2023,AS-5,0+300 - MI,123.487,114.131,0.53,124.191,124.721,-3.0000000000001137,131.8,
29/09/2023,AS-5,0+300 - MI,123.487,114.131,0.526,124.191,124.717,-3.4000000000006025,131.8,
09/10/2023,AS-5,0+300 - MI,123.487,114.069,0.519,124.191,124.71000000000001,-4.099999999999682,133.6,
16/10/2023,AS-5,0+300 - MI,123.487,114.1,0.515,124.191,124.706,-4.5000000000001705,135.4,
29/10/2023,AS-5,0+300 - MI,123.487,114.254,0.507,124.191,124.69800000000001,-5.299999999999727,137.8,
03/11/2023,AS-5,0+300 - MI,123.487,114.306,0.501,124.191,124.69200000000001,-5.89999999999975,138.4,
11/11/2023,AS-5,0+300 - MI,123.487,114.306,0.497,124.191,124.688,-6.300000000000239,139.5,
12/11/2023,AS-5,0+300 - MI,123.487,114.328,0.495,124.191,124.686,-6.499999999999773,139.5,
13/11/2023,AS-5,0+300 - MI,123.487,114.328,0.495,124.191,124.686,-6.499999999999773,139.5,
15/11/2023,AS-5,0+300 - MI,123.487,114.328,0.491,124.191,124.682,-6.9000000000002615,140.6,
16/11/2023,AS-5,0+300 - MI,123.487,114.328,0.493,124.191,124.684,-6.700000000000728,140.6,
17/11/2023,AS-5,0+300 - MI,123.487,114.328,0.499,124.191,124.69,-6.100000000000705,140.6,
24/08/2023,AS-6,0+300 - MI,123.487,114.391,0.385,124.797,125.182,-18.500000000000227,127.2,
01/09/2023,AS-6,0+300 - MI,123.487,114.309,0.4,124.797,125.197,-17.00000000000017,129.6,
02/09/2023,AS-6,0+300 - MI,123.487,114.309,0.312,124.797,125.109,-25.800000000000978,129.6,
23/09/2023,AS-6,0+300 - MI,123.487,114.221,0.671,124.797,125.468,10.099999999999909,129.6,
26/09/2023,AS-6,0+300 - MI,123.487,114.131,0.768,124.796,125.56400000000001,19.700000000000273,131.8,
28/09/2023,AS-6,0+300 - MI,123.487,114.131,0.597,124.796,125.393,2.599999999999625,131.8,
29/09/2023,AS-6,0+300 - MI,123.487,114.131,0.652,124.796,125.44800000000001,8.100000000000307,131.8,
09/10/2023,AS-6,0+300 - MI,123.487,114.1,0.332,124.796,125.128,-23.900000000000432,133.6,
16/10/2023,AS-6,0+300 - MI,123.487,114.18,0.118,124.796,124.914,-45.300000000000296,135.4,
29/10/2023,AS-6,0+300 - MI,123.487,114.254,0.105,124.796,124.90100000000001,-46.5999999999994,137.8,
03/11/2023,AS-6,0+300 - MI,123.487,114.306,0.177,124.796,124.97300000000001,-39.399999999999125,138.4,
11/11/2023,AS-6,0+300 - MI,123.487,114.306,0.457,124.796,125.253,-11.400000000000432,139.5,
12/11/2023,AS-6,0+300 - MI,123.487,114.328,0.471,124.796,125.26700000000001,-9.999999999999432,139.5,
13/11/2023,AS-6,0+300 - MI,123.487,114.328,0.488,124.796,125.284,-8.29999999999984,139.5,
15/11/2023,AS-6,0+300 - MI,123.487,114.328,0.496,124.796,125.292,-7.500000000000284,140.6,
16/11/2023,AS-6,0+300 - MI,123.487,114.328,0.539,124.796,125.33500000000001,-3.1999999999996476,140.6,
17/11/2023,AS-6,0+300 - MI,123.487,114.328,0.482,124.796,125.278,-8.899999999999864,140.6,
