FECHA,PROGRESIVA,PIEZOMETRO,COTA_RIO_(M.S.N.M),LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
14/08/2023,0+300,PE 7,114.629,9026.43,0.2,-0.020753300000027647,-0.04990850000002765,SIN NF,
24/08/2023,0+300,PE 7,114.391,9028.22,0.3,-0.073075,-0.10162280000000001,SIN NF,3.8
01/09/2023,0+300,PE 7,114.309,9031.85,-0.3,-0.17917990000002976,-0.2113721000000298,SIN NF,
02/09/2023,0+300,PE 7,114.309,9029.57,0.3,-0.11253550000001064,-0.14108330000001065,SIN NF,
09/09/2023,0+300,PE 7,114.221,9027.3,-0.1,-0.046183399999997876,-0.07716079999999788,SIN NF,
16/09/2023,0+300,PE 7,114.221,9032.72,0.3,-0.20461,-0.2331578,SIN NF,
23/09/2023,0+300,PE 7,114.221,9024.15,1.0,0.0458910999999915,0.021595099999991495,124.98489109999998,
26/09/2023,0+300,PE 7,114.131,9029.57,1.1,-0.11253550000001064,-0.13622410000001065,SIN NF,22.1
01/10/2023,0+300,PE 7,114.069,9028.22,1.4,-0.073075,-0.09494140000000001,SIN NF,
09/10/2023,0+300,PE 7,114.1,9029.36,1.6,-0.10639720000003615,-0.12704880000003616,SIN NF,
16/10/2023,0+300,PE 7,114.18,9023.45,2.0,0.0663520999999596,0.0481300999999596,125.00535209999995,0.8
29/10/2023,0+300,PE 7,114.254,9030.5,2.4,-0.13971940000001914,-0.15551180000001916,SIN NF,5.6
03/11/2023,0+300,PE 7,114.306,9026.16,2.6,-0.012861200000014887,-0.027438800000014883,SIN NF,
10/11/2023,0+300,PE 7,114.306,9031.37,2.3,-0.16514950000004255,-0.18154930000004255,SIN NF,
17/11/2023,0+300,PE 7,114.328,9034.57,2.9,-0.25868550000001067,-0.2714409000000107,SIN NF,5.5
14/08/2023,0+300,PE 8,114.629,8887.47,2.4,-0.15488870000000443,-0.13927400000000445,SIN NF,
24/08/2023,0+300,PE 8,114.391,8882.38,1.2,0.0,0.0216591,125.207,3.8
01/09/2023,0+300,PE 8,114.309,8886.36,1.9,-0.12111140000004209,-0.10297820000004208,SIN NF,
02/09/2023,0+300,PE 8,114.309,8884.4,2.1,-0.061468600000013286,-0.04434280000001329,SIN NF,
09/09/2023,0+300,PE 8,114.221,8884.13,2.8,-0.05325250000000001,-0.0396526,SIN NF,
16/09/2023,0+300,PE 8,114.221,8889.69,3.2,-0.22244330000003987,-0.21085820000003985,SIN NF,
23/09/2023,0+300,PE 8,114.221,8882.17,3.6,0.006390299999973432,0.015960599999973433,125.21339029999997,
26/09/2023,0+300,PE 8,114.131,8886.78,3.7,-0.1338920000000443,-0.1248254000000443,SIN NF,22.1
01/10/2023,0+300,PE 8,114.069,8885.93,3.8,-0.10802650000003322,-0.09946360000003321,SIN NF,
09/10/2023,0+300,PE 8,114.1,8886.14,4.03,-0.11441680000000665,-0.10701241000000664,SIN NF,
16/10/2023,0+300,PE 8,114.18,8880.16,4.3,0.06755459999998008,0.07359899999998008,125.27455459999997,0.8
29/10/2023,0+300,PE 8,114.254,8887.89,4.3,-0.16766930000000665,-0.16162490000000665,SIN NF,5.6
03/11/2023,0+300,PE 8,114.306,8883.07,4.7,-0.020996700000015498,-0.0169671000000155,SIN NF,
10/11/2023,0+300,PE 8,114.306,8888.79,4.9,-0.19505630000005095,-0.19203410000005094,SIN NF,
17/11/2023,0+300,PE 8,114.328,8891.66,5.0,-0.2823904000000199,-0.27987190000001994,SIN NF,5.5
23/08/2023,0+300,PE 11,114.629,8964.81,7.3,0.06288750000000001,-0.01854249999999999,SIN NF,
24/08/2023,0+300,PE 11,114.391,8954.72,9.6,0.34490300000000407,0.2083880000000041,115.484903,3.8
01/09/2023,0+300,PE 11,114.309,8961.91,9.7,0.14394249999998984,0.005032499999989867,115.2839425,
02/09/2023,0+300,PE 11,114.309,8963.46,9.7,0.10062000000001017,-0.03828999999998979,SIN NF,
06/09/2023,0+300,PE 11,114.309,8956.97,9.7,0.2820155000000041,0.1431055000000041,115.4220155,
09/09/2023,0+300,PE 11,114.221,8963.25,9.6,0.10648949999998578,-0.030025500000014218,SIN NF,
16/09/2023,0+300,PE 11,114.221,8969.48,9.6,-0.06763900000000204,-0.20415400000000206,SIN NF,
23/09/2023,0+300,PE 11,114.221,8961.69,9.6,0.15009149999997154,0.013576499999971544,115.29009149999997,
26/09/2023,0+300,PE 11,114.131,8966.36,9.5,0.019564999999969496,-0.11455500000003048,SIN NF,22.1
01/10/2023,0+300,PE 11,114.069,8965.93,9.5,0.03158349999997763,-0.10253650000002236,SIN NF,
09/10/2023,0+300,PE 11,114.1,8967.28,9.4,-0.006149000000032538,-0.13787400000003255,SIN NF,
16/10/2023,0+300,PE 11,114.18,8961.0,9.3,0.1693769999999858,0.040046999999985775,115.30937699999998,0.8
29/10/2023,0+300,PE 11,114.254,8969.96,9.3,-0.08105499999998983,-0.21038499999998986,SIN NF,5.6
03/11/2023,0+300,PE 11,114.306,8964.11,9.1,0.0824524999999695,-0.04208750000003048,SIN NF,
10/11/2023,0+300,PE 11,114.306,8970.61,8.9,-0.09922250000003051,-0.21897250000003055,SIN NF,
17/11/2023,0+300,PE 11,114.328,8974.21,8.8,-0.19984249999998985,-0.3171974999999898,SIN NF,5.5
