FECHA,CELDA_DE_ASENTAMIENTO,PROGRESIVA,PUNTO_FIJO_CASETA,COTA_RIO_(M.S.N.M),LECTURA_REGLETA_(M),COTA_0_REGLETA_(M),COTA_CELDA_(M.S.N.M),ASENTAMIENTO_(CM),COTA_RELLENO,MODULO_DEFORMACION_(Ε)
18/05/2023,AS-3,0+260 - MD,136.946,116.109,0.47,139.76,140.23,6.200000000001182,,
21/05/2023,AS-3,0+260 - MD,136.946,116.109,0.469,139.76,140.22899999999998,6.100000000000705,,
22/05/2023,AS-3,0+260 - MD,136.946,116.109,0.468,139.76,140.22799999999998,6.000000000000227,,
29/05/2023,AS-3,0+260 - MD,136.946,115.969,0.466,139.76,140.226,5.800000000002115,141.2,
31/05/2023,AS-3,0+260 - MD,136.946,115.969,0.43,139.76,140.19,2.200000000001978,141.2,
03/06/2023,AS-3,0+260 - MD,136.946,115.969,0.425,139.76,140.185,1.700000000002433,143.0,
09/06/2023,AS-3,0+260 - MD,136.946,115.969,0.415,139.76,140.17499999999998,0.7000000000005002,145.4,
11/06/2023,AS-3,0+260 - MD,136.946,115.647,0.408,139.76,140.16799999999998,0.0,145.4,
16/06/2023,AS-3,0+260 - MD,136.946,115.647,0.402,139.757,140.159,-0.899999999998613,146.0,
23/06/2023,AS-3,0+260 - MD,136.946,115.565,0.39,139.757,140.147,-2.0999999999986585,148.4,
30/06/2023,AS-3,0+260 - MD,136.946,115.354,0.385,139.757,140.142,-2.5999999999982037,153.8,
08/07/2023,AS-3,0+260 - MD,136.946,115.156,0.37,139.757,140.127,-4.0999999999968395,155.0,
14/07/2023,AS-3,0+260 - MD,136.946,115.008,0.368,139.757,140.125,-4.2999999999977945,155.0,
30/07/2023,AS-3,0+260 - MD,136.946,114.831,0.348,139.757,140.10500000000002,-6.2999999999959755,155.0,
15/08/2023,AS-3,0+260 - MD,136.939,114.629,0.336,139.753,140.089,-7.899999999997931,155.0,
23/08/2023,AS-3,0+260 - MD,136.939,114.391,0.328,139.753,140.081,-8.699999999998909,155.0,
01/09/2023,AS-3,0+260 - MD,136.939,114.309,0.312,139.753,140.065,-10.299999999998022,160.0,
09/09/2023,AS-3,0+260 - MD,136.939,114.309,0.288,139.753,140.041,-12.699999999998113,160.0,
15/09/2023,AS-3,0+260 - MD,136.939,114.309,0.285,139.753,140.03799999999998,-12.999999999999545,160.0,
24/09/2023,AS-3,0+260 - MD,136.939,114.221,0.281,139.753,140.034,-13.399999999998613,160.0,
26/09/2023,AS-3,0+260 - MD,136.939,114.131,0.275,139.752,140.02700000000002,-14.099999999996271,160.0,
01/10/2023,AS-3,0+260 - MD,136.939,114.069,0.273,139.752,140.025,-14.299999999997226,160.0,
09/10/2023,AS-3,0+260 - MD,136.939,114.069,0.268,139.752,140.02,-14.799999999996771,160.0,
15/10/2023,AS-3,0+260 - MD,136.934,114.1,0.255,139.752,140.007,-16.099999999997294,160.0,
16/10/2023,AS-3,0+260 - MD,136.934,114.18,0.253,139.752,140.005,-16.29999999999825,160.0,
30/10/2023,AS-3,0+260 - MD,136.934,114.254,0.244,139.753,139.99699999999999,-17.099999999999227,160.0,
03/11/2023,AS-3,0+260 - MD,136.934,114.306,0.238,139.753,139.99099999999999,-17.69999999999925,160.0,
10/11/2023,AS-3,0+260 - MD,136.934,114.328,0.234,139.753,139.987,-18.099999999998317,160.0,
17/11/2023,AS-3,0+260 - MD,136.934,114.328,0.23,139.753,139.98299999999998,-18.500000000000227,160.0,
18/05/2023,AS-4,0+260 - MD,136.946,116.109,0.566,139.749,140.315,15.000000000000568,,
21/05/2023,AS-4,0+260 - MD,136.946,116.109,0.557,139.749,140.30599999999998,14.099999999999113,,
22/05/2023,AS-4,0+260 - MD,136.946,116.109,0.552,139.749,140.301,13.599999999999568,,
29/05/2023,AS-4,0+260 - MD,136.946,115.969,0.541,139.749,140.29,12.5,141.2,
31/05/2023,AS-4,0+260 - MD,136.946,115.969,0.544,139.749,140.293,12.800000000001432,141.2,
09/06/2023,AS-4,0+260 - MD,136.946,115.647,0.399,139.749,140.148,-1.6999999999995907,145.4,
