FECHA,CELDA_DE_ASENTAMIENTO,PROGRESIVA,PUNTO_FIJO_CASETA,COTA_RIO_(M.S.N.M),LECTURA_REGLETA_(M),COTA_0_REGLETA_(M),COTA_CELDA_(M.S.N.M),ASENTAMIENTO_(CM),COTA_RELLENO,MODULO_DEFORMACION_(Ε)
24/10/2019,AS-3,1+225,138.993,,0.557,140.053,140.60999999999999,-9.300000000001774,141.8,
26/10/2019,AS-3,1+225,,,0.551,140.053,140.60399999999998,-9.900000000001796,141.8,
28/10/2019,AS-3,1+225,138.996,,0.546,140.035,140.581,-12.20000000000141,141.8,
31/10/2019,AS-3,1+225,,,0.659,140.035,140.694,-0.9000000000014552,141.8,
01/11/2019,AS-3,1+225,,,0.665,140.035,140.7,-0.30000000000143245,141.8,
04/11/2019,AS-3,1+225,,,0.665,140.035,140.7,-0.30000000000143245,141.8,
09/11/2019,AS-3,1+225,,115.173,0.66,140.035,140.695,-0.8000000000009777,141.8,
13/11/2019,AS-3,1+225,138.993,115.173,0.652,140.024,140.676,-2.7000000000015234,141.8,
17/11/2019,AS-3,1+225,,,0.646,140.024,140.67,-3.300000000001546,141.8,
20/11/2019,AS-3,1+225,,,0.643,140.024,140.667,-3.6000000000001364,141.8,
25/11/2019,AS-3,1+225,,,0.683,140.024,140.707,0.39999999999906777,141.8,
29/11/2019,AS-3,1+225,,,0.68,140.024,140.704,0.10000000000047748,141.8,
03/12/2019,AS-3,1+225,,115.803,0.674,140.024,140.698,-0.49999999999954525,141.8,
07/12/2019,AS-3,1+225,,,0.67,140.024,140.694,-0.9000000000014552,141.8,
11/12/2019,AS-3,1+225,,116.171,0.668,140.024,140.692,-1.099999999999568,141.8,
14/12/2019,AS-3,1+225,,116.31,0.668,140.024,140.692,-1.099999999999568,141.8,
18/12/2019,AS-3,1+225,138.995,,0.655,140.024,140.679,-2.400000000000091,141.8,
04/01/2020,AS-3,1+225,,,0.647,140.024,140.671,-3.2000000000010687,141.8,
09/01/2020,AS-3,1+225,,,0.669,140.024,140.693,-0.9999999999990905,141.8,
13/01/2020,AS-3,1+225,,117.135,0.664,140.024,140.688,-1.500000000001478,141.8,
17/01/2020,AS-3,1+225,,,0.661,140.024,140.685,-1.8000000000000682,141.8,
21/01/2020,AS-3,1+225,,117.311,0.657,140.024,140.681,-2.199999999999136,141.8,
25/01/2020,AS-3,1+225,,,0.656,140.024,140.68,-2.2999999999996135,141.8,
29/01/2020,AS-3,1+225,,117.528,0.654,140.024,140.678,-2.5000000000005684,141.8,
02/02/2020,AS-3,1+225,,,0.657,140.024,140.681,-2.199999999999136,141.8,
06/02/2020,AS-3,1+225,,117.669,0.669,140.024,140.693,-0.9999999999990905,141.8,
10/02/2020,AS-3,1+225,138.985,,0.665,140.02,140.685,-1.8000000000000682,141.8,
14/02/2020,AS-3,1+225,,,0.664,140.02,140.684,-1.9000000000005457,141.8,
19/02/2020,AS-3,1+225,,,0.662,140.02,140.68200000000002,-2.0999999999986585,141.8,
22/02/2020,AS-3,1+225,,,0.66,140.02,140.68,-2.2999999999996135,141.8,
26/02/2020,AS-3,1+225,,117.808,0.658,140.02,140.678,-2.5000000000005684,141.8,
01/03/2020,AS-3,1+225,,,0.653,140.02,140.673,-3.0000000000001137,141.8,
06/03/2020,AS-3,1+225,,,0.652,140.02,140.672,-3.100000000000591,141.8,
13/03/2020,AS-3,1+225,,118.05,0.651,140.02,140.67100000000002,-3.1999999999982265,141.8,
22/03/2020,AS-3,1+225,,,0.649,140.02,140.669,-3.3999999999991815,141.8,
26/03/2020,AS-3,1+225,,,0.64,140.02,140.66,-4.300000000000637,141.8,
01/04/2020,AS-3,1+225,,,0.65,140.02,140.67000000000002,-3.299999999998704,141.8,
11/04/2020,AS-3,1+225,,,0.644,140.02,140.66400000000002,-3.8999999999987267,141.8,
20/04/2020,AS-3,1+225,138.983,117.807,0.643,140.02,140.663,-3.999999999999204,141.8,
07/05/2020,AS-3,1+225,,,0.653,140.02,140.673,-3.0000000000001137,141.8,
14/05/2020,AS-3,1+225,,,0.66,140.02,140.68,-2.2999999999996135,141.8,
22/05/2020,AS-3,1+225,,,0.659,140.02,140.679,-2.400000000000091,141.8,
28/05/2020,AS-3,1+225,,,0.66,140.016,140.676,-2.7000000000015234,141.8,
30/05/2020,AS-3,1+225,,,0.66,140.016,140.676,-2.7000000000015234,141.8,
02/06/2020,AS-3,1+225,,,0.66,140.016,140.676,-2.7000000000015234,141.8,
